"","subj","item","rt","so"
"30341",24,2,576,1
"30491",24,4,650,1
"30661",24,9,370,-1
"30821",24,3,555,-1
"30991",26,16,470,1
"31121",26,3,470,-1
"31291",26,15,358,-1
"31401",26,4,318,1
"31571",26,8,582,1
"31701",26,6,326,1
"31821",26,11,438,-1
"31951",26,1,534,-1
"32101",26,2,542,1
"32251",26,13,422,-1
"32381",26,10,358,1
"32521",26,7,374,-1
"32641",26,9,310,-1
"32801",26,5,366,-1
"32921",26,14,350,1
"33051",27,3,360,1
"33221",27,8,1060,-1
"33351",27,16,515,-1
"33481",27,9,280,1
"33641",27,1,367,1
"33791",27,15,683,1
"33901",27,13,944,1
"34031",28,11,1096,-1
"34161",28,13,1048,-1
"34291",28,8,470,1
"34421",28,9,526,-1
"34581",28,3,302,-1
"34751",28,4,230,1
"34921",28,6,246,1
"35041",28,7,302,-1
"35161",28,16,326,1
"35291",28,2,382,1
"35441",28,14,254,1
"35571",28,15,2988,-1
"35681",28,10,453,1
"35821",28,5,406,-1
"35941",28,1,358,-1
"36091",29,3,374,1
"36261",29,5,374,1
"36381",29,11,245,1
"36511",29,1,285,1
"36661",29,8,318,-1
"36791",29,13,350,1
"36921",29,6,213,-1
"37041",29,7,285,1
"37161",29,10,246,-1
"37301",29,16,326,-1
"37431",29,15,454,1
"37541",29,2,278,-1
"37691",29,9,189,1
"37851",29,4,189,-1
"38021",29,14,206,-1
"38151",3,10,445,-1
"38291",3,14,1136,-1
"38421",3,5,312,1
"38541",3,11,303,1
"38671",3,16,322,-1
"38801",3,6,291,-1
"38921",3,8,454,-1
"39051",3,9,352,1
"39211",3,13,314,1
"39341",3,1,313,1
"39491",3,7,269,1
"39611",3,3,349,1
"39781",3,2,283,-1
"39931",3,15,1860,1
"40041",3,4,1053,-1
"40211",30,2,372,1
"40361",30,11,349,-1
"40491",30,6,290,1
"40611",30,10,334,1
"40751",30,15,482,-1
"40861",30,5,573,-1
"40981",30,16,437,1
"41111",30,3,302,-1
"41281",30,13,451,-1
"41411",30,7,516,-1
"41531",30,8,539,1
"41661",30,9,285,-1
"41821",30,1,281,-1
"41971",30,14,554,1
"42101",30,4,279,1
"42271",31,16,406,-1
"42401",31,10,366,-1
"42541",31,6,414,-1
"42661",31,15,302,1
"42771",31,2,438,-1
"42921",31,7,254,1
"43041",31,11,470,1
"43171",31,1,286,1
"43321",31,14,430,-1
"43451",31,3,246,1
"43621",31,8,3285,-1
"43751",31,13,286,1
"43881",31,9,278,1
"44041",31,5,374,1
"44161",31,4,214,-1
"44331",32,9,369,-1
"44491",32,3,361,-1
"44661",32,15,240,-1
"44771",32,8,252,1
"44901",32,16,345,1
"45031",32,7,220,-1
"45151",32,10,333,1
"45291",32,6,244,1
"45411",32,5,250,-1
"45531",32,1,299,-1
"45681",32,11,230,-1
"45811",32,13,324,-1
"45941",32,2,275,1
"46091",32,4,200,1
"46261",32,14,263,1
"46391",33,15,767,1
"46501",33,4,237,-1
"46671",33,3,254,1
"46841",33,7,221,1
"46961",33,5,214,1
"47081",33,10,799,-1
"47221",33,6,270,-1
"47341",33,2,221,-1
"47491",33,1,205,1
"47641",33,16,707,-1
"47771",33,13,294,1
"47901",33,9,309,1
"48061",33,8,302,-1
"48191",33,11,254,1
"48321",33,14,246,-1
"48451",34,4,287,1
"48621",34,1,369,-1
"48771",34,6,367,1
"48891",34,14,331,1
"49021",34,11,343,-1
"49151",34,10,379,1
"49291",34,2,726,1
"49441",34,15,322,-1
"49551",34,9,292,-1
"49711",34,5,478,-1
"49831",34,13,298,-1
"49961",34,3,366,-1
"50131",34,16,257,1
"50261",34,8,435,1
"50391",34,7,270,-1
"50511",35,16,318,-1
"50641",35,2,366,-1
"50791",35,8,294,-1
"50921",35,5,534,1
"51041",35,4,245,-1
"51211",35,13,1008,1
"51341",35,1,1056,1
"51491",35,14,695,-1
"51621",35,7,294,1
"51741",35,3,408,1
