entity_name,entity_ID,origin_year,origin_period,dev_year,dev_month,cumulative_paid,incremental_paid,premium
Hartford Fire,2,1993,6,9,108,597691,9030,1352226
Hartford Fire,2,1993,6,10,120,605228,7537,1352226
Hartford Fire,2,1994,7,1,12,139785,139785,1247521
Hartford Fire,2,1994,7,2,24,357133,217348,1247521
Hartford Fire,2,1994,7,3,36,462517,105384,1247521
Hartford Fire,2,1994,7,4,48,529698,67181,1247521
Hartford Fire,2,1994,7,5,60,572821,43123,1247521
Hartford Fire,2,1994,7,6,72,601032,28211,1247521
Hartford Fire,2,1994,7,7,84,618938,17906,1247521
Hartford Fire,2,1994,7,8,96,630889,11951,1247521
Hartford Fire,2,1994,7,9,108,640295,9406,1247521
Hartford Fire,2,1994,7,10,120,648193,7898,1247521
Hartford Fire,2,1995,8,1,12,155591,155591,1250084
Hartford Fire,2,1995,8,2,24,336448,180857,1250084
Hartford Fire,2,1995,8,3,36,442247,105799,1250084
Hartford Fire,2,1995,8,4,48,513738,71491,1250084
Hartford Fire,2,1995,8,5,60,558815,45077,1250084
Hartford Fire,2,1995,8,6,72,588933,30118,1250084
Hartford Fire,2,1995,8,7,84,610478,21545,1250084
Hartford Fire,2,1995,8,8,96,623301,12823,1250084
Hartford Fire,2,1995,8,9,108,633843,10542,1250084
Hartford Fire,2,1995,8,10,120,642996,9153,1250084
Hartford Fire,2,1996,9,1,12,149519,149519,1184289
Hartford Fire,2,1996,9,2,24,330565,181046,1184289
Hartford Fire,2,1996,9,3,36,440555,109990,1184289
Hartford Fire,2,1996,9,4,48,506650,66095,1184289
Hartford Fire,2,1996,9,5,60,547873,41223,1184289
Hartford Fire,2,1996,9,6,72,573526,25653,1184289
Hartford Fire,2,1996,9,7,84,592094,18568,1184289
Hartford Fire,2,1996,9,8,96,606128,14034,1184289
Hartford Fire,2,1996,9,9,108,619055,12927,1184289
Hartford Fire,2,1996,9,10,120,630364,11309,1184289
Hartford Fire,2,1997,10,1,12,155745,155745,1088957
Hartford Fire,2,1997,10,2,24,344749,189004,1088957
Hartford Fire,2,1997,10,3,36,460094,115345,1088957
